AUROC,AUPRC,precision,recall,f1,threshold,dataset,num_unfrozen,seed,params,train_s,test_average_precision,test_accuracy,test_f1,test_roc_auc,test_precision_valthr,test_recall_valthr
0.6407685881370092,0.726343460632418,0.5857740585774058,0.998217468805704,0.7382992744185402,0.0867860317230224,rel-trial,2,42,6777999,11978.782957315443,,,,,,
0.6552075375604787,0.7296192896034392,0.5892291446673706,0.9946524064171124,0.7400530499306378,0.0989356413483619,rel-trial,2,43,6777999,9755.405575037004,,,,,,
0.6494891417492037,0.7252706418117244,0.5859538784067087,0.9964349376114082,0.7379537949131837,0.1264908015727996,rel-trial,2,44,6777999,10281.357829093931,,,,,,
0.8238516549928434,0.1851677244226949,0.2305699481865284,0.3167259786476868,0.2668665662290324,0.901773989200592,rel-stack,2,42,5195839,16553.33540534973,,,,,,
0.8097464005457264,0.1752645835568603,0.2144469525959368,0.3380782918149466,0.2624309387515529,0.8189343214035034,rel-stack,2,43,5195839,13808.315304279327,,,,,,
0.8157715799737755,0.1729684627709759,0.2546583850931677,0.2918149466192171,0.2719734655056283,0.8905108571052551,rel-stack,2,44,5195839,13791.962536334991,,,,,,
0.6667247441241249,0.7425930040645735,0.5873684210526315,0.9946524064171124,0.7385837189242707,0.1751962155103683,rel-trial,1,42,5003535,6348.8724591732025,0.7516120999786249,0.583030303030303,0.5235457063711911,0.67842311091739,0.5901840490797546,0.9958592132505176
0.6658491147655236,0.7469135667880056,0.5967567567567568,0.983957219251337,0.7429340506740116,0.1631866693496704,rel-trial,1,43,5003535,6357.332108736038,0.7541929880789358,0.5951515151515151,0.5750636132315522,0.6778358940830337,0.5977301387137453,0.9813664596273292
0.6710492809564017,0.7407952416547103,0.5914893617021276,0.9910873440285204,0.7408394399049623,0.1866830289363861,rel-trial,1,44,5003535,5913.472681760788,0.7416282409062984,0.6206060606060606,0.6215235792019347,0.6779448621553885,0.595771144278607,0.9917184265010353
0.8222951045371376,0.1930596980249061,0.22567287784679088,0.3879003558718861,0.28534031367107876,0.854373574256897,rel-stack,1,42,3421375,18567.67967605591,0.18805673042962467,0.7828,0.15683229813664595,0.8377416831552529,0.20756756756756756,0.34972677595628415
0.8262613606030524,0.18437043698238198,0.21524663677130046,0.3416370106761566,0.2640990366646826,0.8826214075088501,rel-stack,1,43,3421375,20035.73312139511,0.16990513605009014,0.6797,0.12342638204707171,0.8349147205546347,0.2027491408934708,0.3224043715846995
0.8174299231904048,0.17645521511460702,0.22959183673469388,0.3202846975088968,0.26745913770082286,0.8382290005683899,rel-stack,1,44,3421375,17028.67177605629,0.17218722061312794,0.78605,0.15584927993687117,0.8283561823044391,0.21305418719211822,0.3151183970856102
