epoch,train_loss,val_loss,val_AUROC,dataset,variant,seed
1,1.063342909693718,0.7702035604133493,0.8236708575811307,rel-stack,SAGE-homo,42
2,0.9966968318223952,0.7280983504440103,0.8532045915687325,rel-stack,SAGE-homo,42
3,0.9761632274389268,0.7531468272209167,0.8583963462480035,rel-stack,SAGE-homo,42
4,0.9736862027645112,0.7676715584737914,0.8581945042672907,rel-stack,SAGE-homo,42
5,0.9628800617456436,0.7016244498746735,0.8585025595063583,rel-stack,SAGE-homo,42
6,0.95380244076252,0.73851630233583,0.8673178771366251,rel-stack,SAGE-homo,42
7,0.9411276421546936,0.7073421286685126,0.8677902860080334,rel-stack,SAGE-homo,42
8,0.94076680290699,0.8386201759179434,0.8707902711379785,rel-stack,SAGE-homo,42
9,0.9475288515090944,0.7483288888775167,0.8692817112636322,rel-stack,SAGE-homo,42
10,0.9343607503175736,0.7152881303003856,0.8717254713209611,rel-stack,SAGE-homo,42
11,0.934197278380394,0.7550719405213991,0.874668215936486,rel-stack,SAGE-homo,42
12,0.9304226095676422,0.7315352736484437,0.872385098212239,rel-stack,SAGE-homo,42
13,0.9189384831190108,0.7321320589454401,0.865899062096261,rel-stack,SAGE-homo,42
14,0.928681031703949,0.719038953915948,0.871263957710538,rel-stack,SAGE-homo,42
15,0.9223383893966676,0.7099827625567005,0.8658232476849484,rel-stack,SAGE-homo,42
16,0.9144066704511642,0.7534260778200059,0.8749745758600181,rel-stack,SAGE-homo,42
17,0.9147625495195388,0.7506588929820628,0.878186721526083,rel-stack,SAGE-homo,42
18,0.9232852121591568,0.7453847433484736,0.8775124383585633,rel-stack,SAGE-homo,42
19,0.9187464717626572,0.7522279682258765,0.875544885474898,rel-stack,SAGE-homo,42
20,0.9222392613887788,0.722418626504285,0.8752384832927673,rel-stack,SAGE-homo,42
21,0.9123040599822998,0.7119667418301105,0.8767129379924125,rel-stack,SAGE-homo,42
22,0.9174329624176024,0.7383538935156095,0.87225063880956,rel-stack,SAGE-homo,42
23,0.9036637140512468,0.699057302836861,0.877221152325657,rel-stack,SAGE-homo,42
1,1.0572060273885726,0.7775458899282274,0.8461092461231601,rel-stack,SAGE-homo,43
2,0.9723970569372176,0.7147154620005971,0.8569356927094327,rel-stack,SAGE-homo,43
3,0.9779250367879868,0.7423464192875794,0.856811753211953,rel-stack,SAGE-homo,43
4,0.9701567180156708,0.7329718589427925,0.8574602138900563,rel-stack,SAGE-homo,43
5,0.959175525546074,0.7149419562802428,0.8611452133857124,rel-stack,SAGE-homo,43
6,0.9644103804826736,0.744433577039412,0.8614298126168733,rel-stack,SAGE-homo,43
7,0.9552968702316283,0.7215560438732306,0.8668945951287459,rel-stack,SAGE-homo,43
8,0.9508973455429076,0.7747653586169084,0.8706172097485694,rel-stack,SAGE-homo,43
9,0.9433015257120132,0.7360200548455829,0.8742950998564961,rel-stack,SAGE-homo,43
10,0.9376508852243424,0.7323703996482349,0.8683079438951183,rel-stack,SAGE-homo,43
11,0.9351828300952912,0.8210573930825505,0.8687961873119235,rel-stack,SAGE-homo,43
12,0.9412244435548782,0.7373848990315482,0.8652413815863089,rel-stack,SAGE-homo,43
13,0.9274429746866226,0.774063731942858,0.8780442851915078,rel-stack,SAGE-homo,43
14,0.9354622967243196,0.7047789726583731,0.8742845526074979,rel-stack,SAGE-homo,43
15,0.9287702153921128,0.7436044182450998,0.875414020538882,rel-stack,SAGE-homo,43
16,0.9220398277044296,0.7992611243611291,0.8756738139727878,rel-stack,SAGE-homo,43
17,0.9252360183000564,0.7299884257926827,0.8759904949375269,rel-stack,SAGE-homo,43
18,0.9185553333759308,0.7526878132706597,0.8738012857621034,rel-stack,SAGE-homo,43
19,0.9211859564781189,0.6972108346720537,0.8773725897416895,rel-stack,SAGE-homo,43
1,1.0573174780607224,0.7767035049341974,0.8392673180347364,rel-stack,SAGE-homo,44
2,0.996861650943756,0.8365953202758517,0.8499670683714342,rel-stack,SAGE-homo,44
3,0.9757410905361176,0.8117107434996537,0.8570908091093252,rel-stack,SAGE-homo,44
4,0.9603405100107192,0.7252407182185423,0.8548783477615872,rel-stack,SAGE-homo,44
5,0.9622085877656936,0.7490617922019391,0.8652452320903622,rel-stack,SAGE-homo,44
6,0.9577843227386474,0.7060742422583557,0.8644204188237755,rel-stack,SAGE-homo,44
7,0.9583351329565049,0.7086266399849028,0.8707154535324279,rel-stack,SAGE-homo,44
8,0.956324203968048,0.7464111640694595,0.8715976017738312,rel-stack,SAGE-homo,44
9,0.9497856447696684,0.7115170838577407,0.8619007026645392,rel-stack,SAGE-homo,44
10,0.9380124636888504,0.6935519279823417,0.87397125481643,rel-stack,SAGE-homo,44
11,0.9338589650392533,0.742286336031698,0.8752120120095753,rel-stack,SAGE-homo,44
12,0.944514901161194,0.720324348126139,0.8764540792192711,rel-stack,SAGE-homo,44
13,0.9272055513858796,0.7321351528877303,0.87503413811155,rel-stack,SAGE-homo,44
14,0.9287966564893724,0.6952335846920809,0.8701276861448131,rel-stack,SAGE-homo,44
15,0.9130552580356598,0.7063740731350013,0.872645908338306,rel-stack,SAGE-homo,44
16,0.9222473709583282,0.7544379693766435,0.8797651472925683,rel-stack,SAGE-homo,44
17,0.9147467265129088,0.6775737149374825,0.8765719384501826,rel-stack,SAGE-homo,44
18,0.926190192937851,0.6991602097238813,0.8773967069723709,rel-stack,SAGE-homo,44
19,0.9184434224367142,0.7540497648574057,0.8791722616429486,rel-stack,SAGE-homo,44
20,0.9016879326105118,0.7914188584046704,0.8821826200158983,rel-stack,SAGE-homo,44
21,0.9082069214582444,0.7868645943346477,0.8806722231354223,rel-stack,SAGE-homo,44
22,0.9113497613668442,0.7753410103420416,0.8810535348976999,rel-stack,SAGE-homo,44
23,0.9008646337985992,0.7392700850254014,0.8783856824647056,rel-stack,SAGE-homo,44
24,0.9011365593671798,0.6841412065994172,0.8833476870877266,rel-stack,SAGE-homo,44
25,0.896736475944519,0.7637242078781128,0.8835080907840176,rel-stack,SAGE-homo,44
26,0.8970861859321594,0.7441414717052665,0.8838049201507129,rel-stack,SAGE-homo,44
27,0.9035787702798844,0.7003850582100096,0.8797187896101338,rel-stack,SAGE-homo,44
28,0.912367387533188,0.7236738577485085,0.8821734200704489,rel-stack,SAGE-homo,44
29,0.8990369182825089,0.6735262863692784,0.881662978460489,rel-stack,SAGE-homo,44
30,0.8971779388189316,0.6752059780770824,0.8803091720592492,rel-stack,SAGE-homo,44
1,1.0698200696706772,0.8553416287260396,0.8351486011431984,rel-stack,SAGE-hetero,42
2,1.0205343360900878,0.7435289005793276,0.8370113253590562,rel-stack,SAGE-hetero,42
3,0.9967825832366944,0.7665401255445821,0.850352735255146,rel-stack,SAGE-hetero,42
4,0.9901598315238952,0.7887625279171127,0.8588948858480165,rel-stack,SAGE-hetero,42
5,0.980722824215889,0.8536349561597619,0.8583704765283888,rel-stack,SAGE-hetero,42
6,0.9803050729036332,0.783067237585783,0.8567665066820763,rel-stack,SAGE-hetero,42
7,0.9666714874505996,0.8213616657469954,0.8626036098179691,rel-stack,SAGE-hetero,42
8,0.9709594917297364,0.7489674227933089,0.8673495114262204,rel-stack,SAGE-hetero,42
9,0.9572149529457092,0.7607716015052228,0.8656836451622653,rel-stack,SAGE-hetero,42
10,0.9602579455375672,0.7636503190511749,0.8659358718212592,rel-stack,SAGE-hetero,42
11,0.9544549602270126,0.7681314297730014,0.8741449525706145,rel-stack,SAGE-hetero,42
12,0.9517304413318634,0.7267593187945229,0.8658347693675096,rel-stack,SAGE-hetero,42
13,0.9399868242740632,0.7499654718807766,0.8683910292711541,rel-stack,SAGE-hetero,42
14,0.9452410663366316,0.6855839726825556,0.8709232614329134,rel-stack,SAGE-hetero,42
15,0.9353002705574036,0.7095345986031351,0.8504256487379691,rel-stack,SAGE-hetero,42
16,0.9365081202983856,0.7410235933604694,0.8770703661891998,rel-stack,SAGE-hetero,42
17,0.9410946558713912,0.7329347733230818,0.8710953260165605,rel-stack,SAGE-hetero,42
18,0.931724092245102,0.7308843767359143,0.8719042376211527,rel-stack,SAGE-hetero,42
19,0.9274652267694472,0.7482680626923129,0.8731953397197808,rel-stack,SAGE-hetero,42
20,0.9299240044355392,0.7291979076606887,0.8741793560413044,rel-stack,SAGE-hetero,42
21,0.9155203341245652,0.7106197898586591,0.8675828087189351,rel-stack,SAGE-hetero,42
22,0.9199513902664184,0.7313931917860395,0.8701516169405017,rel-stack,SAGE-hetero,42
1,1.073747453212738,0.754068520452295,0.8435737128191264,rel-stack,SAGE-hetero,43
2,1.0192270237207413,0.8407523520290852,0.8245309816353728,rel-stack,SAGE-hetero,43
3,0.9952580043077468,0.7772865926935559,0.8420150168464897,rel-stack,SAGE-hetero,43
4,1.0007645092010498,0.7577441819012165,0.8490856236114042,rel-stack,SAGE-hetero,43
5,0.9807426691055298,0.7489217313982192,0.8556301704855539,rel-stack,SAGE-hetero,43
6,0.9777602804899216,0.7654272851844629,0.8622514018009829,rel-stack,SAGE-hetero,43
7,0.9788101155757905,0.7422047853469849,0.8624279134806604,rel-stack,SAGE-hetero,43
8,0.9554756237268448,0.7833205802100045,0.8628806025014197,rel-stack,SAGE-hetero,43
9,0.9685461214780808,0.7134531104848498,0.8682602737103338,rel-stack,SAGE-hetero,43
10,0.962262171626091,0.7301255056545848,0.8694384086322643,rel-stack,SAGE-hetero,43
11,0.9494417842626572,0.755765010203634,0.8666842939709553,rel-stack,SAGE-hetero,43
12,0.9470749880075456,0.8083933384290763,0.8712553294990666,rel-stack,SAGE-hetero,43
13,0.9531791031360626,0.7577542630689484,0.8703537249018043,rel-stack,SAGE-hetero,43
14,0.9408326420783996,0.7197307504358745,0.8685209620322054,rel-stack,SAGE-hetero,43
15,0.9379321850538254,0.7212847329321361,0.8711905694399329,rel-stack,SAGE-hetero,43
16,0.936296136379242,0.7354756423405239,0.8703579706480424,rel-stack,SAGE-hetero,43
17,0.924515905380249,0.7546978041174865,0.8724160141056616,rel-stack,SAGE-hetero,43
