AUROC,AUPRC,precision,recall,f1,threshold,dataset,num_bases,seed,params,train_s
0.6866095720584884,0.7560756958566092,0.6200923787528868,0.9572192513368984,0.7526278902025891,0.29173246026039124,rel-trial,1,42,6347453,60.45962595939636
0.6825888250036857,0.7442687097728043,0.6214953271028038,0.948306595365419,0.750882144899229,0.2426517754793167,rel-trial,1,43,6347453,63.69006681442261
0.6887807754680819,0.7537003649597173,0.6146788990825688,0.9554367201426025,0.7480809485814708,0.2804848849773407,rel-trial,1,44,6347453,54.95103573799133
0.6892051876572001,0.750696319890382,0.6144306651634723,0.9714795008912656,0.75276243046457,0.2438160479068756,rel-trial,2,42,6380281,64.24996042251587
0.680904578737396,0.746897612034215,0.6176808266360505,0.9590017825311943,0.7513966475681246,0.2827804386615753,rel-trial,2,43,6380281,54.797972440719604
0.683830789093947,0.7525769797749242,0.6213704994192799,0.9536541889483066,0.7524613216038295,0.23229816555976868,rel-trial,2,44,6380281,74.94377040863037
0.681896363010914,0.7578707801260107,0.6039387308533917,0.983957219251337,0.7484745757998239,0.25904473662376404,rel-trial,4,42,6445937,44.92657923698425
0.6785993504259757,0.7470218919546286,0.6043956043956044,0.9803921568627451,0.747790618154929,0.2521142065525055,rel-trial,4,43,6445937,49.84954786300659
0.6857384101966146,0.7571344750719327,0.607103218645949,0.9750445632798574,0.7482900132069323,0.2836843729019165,rel-trial,4,44,6445937,50.037593603134155
0.691747193295181,0.7516700252882748,0.6052921719955898,0.9786096256684492,0.7479564027975307,0.22590509057044983,rel-trial,8,42,6577249,67.28371214866638
0.6893928225197575,0.7595084493586088,0.6108597285067874,0.9625668449197861,0.7474048438156402,0.23769380152225494,rel-trial,8,43,6577249,55.13309693336487
0.6832902219899124,0.7528250303531181,0.5995647442872688,0.982174688057041,0.7445945941238504,0.17986230552196503,rel-trial,8,44,6577249,50.00678634643555
0.6841390463681486,0.753365266591686,0.6026344676180022,0.9786096256684492,0.745923912571746,0.23836223781108856,rel-trial,30,42,7299465,49.924124240875244
0.6857473451900696,0.7621134729958665,0.5969989281886388,0.9928698752228164,0.7456492632525522,0.16468866169452667,rel-trial,30,43,7299465,69.93959498405457
0.6819678429585551,0.7523205317147255,0.6097560975609756,0.9803921568627451,0.751879698775284,0.21872463822364807,rel-trial,30,44,7299465,64.72716116905212
