epoch,train_loss,val_loss,val_AUROC,dataset,variant,seed
13,0.4098152332007885,0.4917672872543335,0.6688200000893499,rel-trial,rgcn-basis1,43
1,0.49493199462691945,0.4946538507938385,0.6445436228717962,rel-trial,rgcn-basis1,44
2,0.4759817210336526,0.48179714381694794,0.6710403459629466,rel-trial,rgcn-basis1,44
3,0.4672081222136815,0.47994837164878845,0.6714513556618821,rel-trial,rgcn-basis1,44
4,0.4580977149307728,0.48238901793956757,0.6823609826705802,rel-trial,rgcn-basis1,44
5,0.45580757906039554,0.4759637266397476,0.6887629054811718,rel-trial,rgcn-basis1,44
6,0.4464886263012886,0.48326537013053894,0.6678639557896524,rel-trial,rgcn-basis1,44
7,0.44325853263338405,0.48915959894657135,0.6714290181782441,rel-trial,rgcn-basis1,44
8,0.4407215279837449,0.4776307940483093,0.6721750901317465,rel-trial,rgcn-basis1,44
9,0.4324553186694781,0.4831496477127075,0.6701513141141624,rel-trial,rgcn-basis1,44
10,0.4229036830365658,0.4944675415754318,0.6649109404527361,rel-trial,rgcn-basis1,44
11,0.41612401107947034,0.4973889887332916,0.6609661408423019,rel-trial,rgcn-basis1,44
1,0.49412508805592853,0.5024354457855225,0.6500475788401485,rel-trial,rgcn-basis2,42
2,0.47487714141607285,0.4822366237640381,0.6656346749226005,rel-trial,rgcn-basis2,42
3,0.4674244113266468,0.47497840225696564,0.6820862316218352,rel-trial,rgcn-basis2,42
4,0.4591698770721753,0.4781350642442703,0.6768078842382248,rel-trial,rgcn-basis2,42
5,0.45593666781981784,0.47921670973300934,0.6747260307631826,rel-trial,rgcn-basis2,42
6,0.4506203643977642,0.4823089689016342,0.6755882576316012,rel-trial,rgcn-basis2,42
7,0.4460892168184121,0.4847353398799896,0.689084565245556,rel-trial,rgcn-basis2,42
8,0.43976156661907834,0.4875841736793518,0.6727558647063292,rel-trial,rgcn-basis2,42
9,0.4365891603132089,0.4753500074148178,0.6835091293295628,rel-trial,rgcn-basis2,42
10,0.42883825798829395,0.4923839867115021,0.6874896689138176,rel-trial,rgcn-basis2,42
11,0.4209696588416894,0.48955896496772766,0.6849074558052887,rel-trial,rgcn-basis2,42
12,0.41655125468969345,0.4833650588989258,0.6745920058613557,rel-trial,rgcn-basis2,42
13,0.4074748332301776,0.515643760561943,0.6731668744052646,rel-trial,rgcn-basis2,42
1,0.49415022879838943,0.4925752878189087,0.6453299022958465,rel-trial,rgcn-basis2,43
2,0.4753829936186473,0.49630753695964813,0.6691773998275546,rel-trial,rgcn-basis2,43
3,0.4681658831735452,0.47671476006507874,0.6756731400694249,rel-trial,rgcn-basis2,43
4,0.4586698015530904,0.47865794599056244,0.6764147445261998,rel-trial,rgcn-basis2,43
5,0.4542255625128746,0.4810592830181122,0.6809760586850371,rel-trial,rgcn-basis2,43
6,0.45125239218274754,0.47918421030044556,0.6689763624748145,rel-trial,rgcn-basis2,43
7,0.4448977472881476,0.4795973300933838,0.6756597375792421,rel-trial,rgcn-basis2,43
8,0.4415329471230507,0.4749411642551422,0.6777281885641019,rel-trial,rgcn-basis2,43
9,0.4329192799826463,0.497646227478981,0.6727245922292362,rel-trial,rgcn-basis2,43
10,0.42519985015193623,0.4860646724700928,0.6770223240811476,rel-trial,rgcn-basis2,43
11,0.41873757417003316,0.49114707112312317,0.677049129061513,rel-trial,rgcn-basis2,43
1,0.49152559290329617,0.49358798563480377,0.6382444524859385,rel-trial,rgcn-basis2,44
2,0.47826383511225384,0.4851836711168289,0.660175393921524,rel-trial,rgcn-basis2,44
3,0.46733058740695316,0.48373599350452423,0.6621187549980121,rel-trial,rgcn-basis2,44
4,0.4607713694373767,0.4877476394176483,0.6659250622098919,rel-trial,rgcn-basis2,44
