AUROC,AUPRC,precision,recall,f1,threshold,dataset,num_bases,seed,params,train_s
0.6768436242120452,0.7388143789703265,0.6140552995391705,0.9500891265597148,0.7459762066609358,0.2989102303981781,rel-trial,1,42,6354937,66.37697148323059
0.6892476288761118,0.7498822094523137,0.6092342342342343,0.964349376114082,0.7467218766821239,0.31470242142677307,rel-trial,1,43,6354937,46.03073167800903
0.681704260651629,0.7452608406832084,0.6297198538367844,0.9215686274509803,0.748191027014079,0.24995161592960358,rel-trial,1,44,6354937,57.634193658828735
0.6826290324742338,0.7511883528389973,0.6239620403321471,0.9376114081996435,0.7492877488079206,0.2850293517112732,rel-trial,2,42,6420593,69.07931804656982
0.665701687373514,0.7343151501706139,0.6108545034642032,0.9429590017825312,0.7414155566356654,0.2740379571914673,rel-trial,2,43,6420593,50.77335834503174
0.6834823243491974,0.7470064682365505,0.6425806451612903,0.8877005347593583,0.7455089815487569,0.30966877937316895,rel-trial,2,44,6420593,52.93592143058777
0.6922743579090329,0.7548410713824829,0.6010869565217392,0.9857397504456328,0.7467927071593595,0.27867111563682556,rel-trial,4,42,6551905,67.69739532470703
0.6840050214663218,0.7525252561677743,0.5980603448275862,0.9893048128342246,0.7454667557425976,0.2395971566438675,rel-trial,4,43,6551905,58.631293535232544
0.6842239288059722,0.7420043790686122,0.6069042316258352,0.9714795008912656,0.7470870454485401,0.32333365082740784,rel-trial,4,44,6551905,44.00902605056763
0.6831919370619062,0.7514650675452679,0.608352144469526,0.9607843137254902,0.7449896332501713,0.3432210385799408,rel-trial,8,42,6814529,53.76747918128967
0.6795241222485804,0.7418830679800138,0.6114864864864865,0.9679144385026738,0.7494824011817788,0.2434058040380478,rel-trial,8,43,6814529,63.07394337654114
0.6858232926344381,0.7486991091404607,0.6310679611650486,0.9269162210338681,0.7509025265938416,0.327251672744751,rel-trial,8,44,6814529,67.70919847488403
0.6924932652486833,0.7586928908544989,0.6078212290502794,0.9696969696969697,0.7472527467790584,0.28547245264053345,rel-trial,30,42,8258961,67.84767961502075
0.6843713561979816,0.7542789730718922,0.6037321624588364,0.9803921568627451,0.7472826082239198,0.34333786368370056,rel-trial,30,43,8258961,48.400232791900635
0.6835135968262903,0.7612047311788794,0.6435897435897436,0.8948306595365418,0.748695003241896,0.3059130609035492,rel-trial,30,44,8258961,67.60426568984985
