dataset,skip,depth,seed,AUROC,AUPRC,precision,recall,cos_sim,dir_energy,params,train_s
rel-stack,True,4,42,0.8880296464650133,0.34214663865077555,0.3361629881154499,0.4106180008295313,0.5462355017662048,0.6583259105682373,2376321,2464.9289121627808
rel-stack,True,4,43,0.8833092814791894,0.3267433764637096,0.33900709219858155,0.39651596847781,0.5852091908454895,0.5484537482261658,2376321,1523.5937340259552
rel-stack,True,4,44,0.8828544074403133,0.3344171353015512,0.38799076212471134,0.34840315221899626,0.5664458870887756,0.4855114817619324,2376321,2236.1007735729218
rel-stack,True,6,42,0.8866159496866542,0.3300584634879499,0.39239904988123514,0.3425964330153463,0.5354176163673401,0.6652927398681641,2409345,2427.532219648361
rel-stack,True,6,43,0.883610324276724,0.3312518747604277,0.36524537409493163,0.3766072169224388,0.46072375774383545,0.7416559457778931,2409345,1634.5978653430939
rel-stack,True,6,44,0.8878674679075899,0.3386755431571532,0.38023305999136814,0.36540854417254254,0.46132469177246094,0.909835159778595,2409345,3310.3006932735443
rel-stack,True,8,42,0.888004080012987,0.3347389906132526,0.3589243959469992,0.3819991704686852,0.6126856803894043,0.5964884757995605,2442369,3387.491604089737
rel-stack,True,8,43,0.8881220337042948,0.3298530840191878,0.36024844720496896,0.3849025300705102,0.5277585983276367,1.0217597484588623,2442369,3337.291350364685
rel-stack,True,8,44,0.8881551172152348,0.33394727618927983,0.33557046979865773,0.41476565740356697,0.5161513090133667,0.8502479195594788,2442369,2757.835854291916
rel-trial,False,1,42,0.6615781878939774,0.7258810541791729,0.6160188457008245,0.9322638146167558,0.39716100692749023,0.7639917731285095,6298113,61.553168296813965
rel-trial,False,1,43,0.6753872202788611,0.7357470189061257,0.6122448979591837,0.9625668449197861,0.3717804551124573,0.7718659043312073,6298113,83.53509712219238
rel-trial,False,1,44,0.6741273862016897,0.7439005741628582,0.6062639821029083,0.966131907308378,0.3992467522621155,0.7811794281005859,6298113,71.3031120300293
rel-trial,False,2,42,0.6806141914501047,0.740043438749316,0.6279904306220095,0.9358288770053476,0.44179630279541016,0.5154336094856262,6314625,77.89513945579529
rel-trial,False,2,43,0.686229834836646,0.7459092807553208,0.6260554885404102,0.9251336898395722,0.4593106210231781,0.476619154214859,6314625,119.28835701942444
rel-trial,False,2,44,0.6818516880436385,0.7465462549315547,0.6104190260475651,0.9607843137254902,0.45985209941864014,0.4884282648563385,6314625,101.51397848129272
rel-trial,False,3,42,0.6846260035114524,0.7538809047529587,0.617269544924154,0.9429590017825312,0.5189910531044006,0.33321672677993774,6331137,78.52785229682922
rel-trial,False,3,43,0.6942757964429791,0.761544875764016,0.6044198895027625,0.9750445632798574,0.48505762219429016,0.3529714047908783,6331137,84.31770443916321
rel-trial,False,3,44,0.6889550078404567,0.7497193809792225,0.6203271028037384,0.946524064171123,0.5502922534942627,0.3276512920856476,6331137,96.41364455223083
rel-trial,False,4,42,0.68005575435916,0.7336366955549067,0.6217494089834515,0.9376114081996435,0.6827626824378967,0.17458359897136688,6347649,48.89479422569275
rel-trial,False,4,43,0.6894419649837606,0.7500044686957028,0.6277641277641277,0.910873440285205,0.4971141815185547,0.34501782059669495,6347649,79.2477605342865
