check,dataset,variant,seed,AUROC,AUPRC,precision,recall,f1,threshold,train_s,n_epochs,best_epoch,converged
A3_llm,rel-stack,longer,42,0.781332671957672,0.14610710651964245,0.16101694915254236,0.3392857142857143,0.21839080416118378,0.8465883731842041,29.869879007339478,17,11,True
A3_llm,rel-stack,longer,43,0.7768500146972369,0.13736025658445525,0.17355371900826447,0.375,0.23728813516064992,0.8498938083648682,17.681734085083008,16,10,True
A3_llm,rel-stack,longer,44,0.7769326866549089,0.1422823078991638,0.15942028985507245,0.39285714285714285,0.22680412330066954,0.8071372509002686,17.251517295837402,16,10,True
A3_llm,rel-stack,proj_high_lr,42,0.7762621252204586,0.1513363672715407,0.175,0.375,0.2386363632024793,0.8012471199035645,17.508976697921753,16,10,True
A3_llm,rel-stack,proj_high_lr,43,0.7768592004703117,0.10817405550896705,0.15671641791044777,0.375,0.2210526311632133,0.7728106379508972,13.526846647262573,13,7,True
A3_llm,rel-stack,proj_high_lr,44,0.7847038506760728,0.14078248425564865,0.20270270270270271,0.26785714285714285,0.23076923027881657,0.9312478303909302,14.674046039581299,14,8,True
A3_llm,rel-trial,longer,42,0.6503290311339849,0.7547532864409049,0.5855949895615866,1.0,0.7386438441687815,0.11095235496759415,48.74349069595337,17,11,True
A3_llm,rel-trial,longer,43,0.6558687270761574,0.7498019698187253,0.5870020964360587,0.9982174688057041,0.7392739269263849,0.11310052126646042,50.398598432540894,18,12,True
A3_llm,rel-trial,longer,44,0.6503022261536193,0.743442225670472,0.5873684210526315,0.9946524064171123,0.7385837189242707,0.20420034229755402,44.265681982040405,16,10,True
A3_llm,rel-trial,proj_high_lr,42,0.6539879109538552,0.7499958090227588,0.5886673662119623,1.0,0.7410832227831887,0.20688681304454803,33.06891107559204,12,6,True
A3_llm,rel-trial,proj_high_lr,43,0.6552209400506614,0.7483386601793038,0.5886673662119623,1.0,0.7410832227831887,0.19027793407440186,38.404178857803345,14,8,True
A3_llm,rel-trial,proj_high_lr,44,0.6484080075411345,0.7482094146190739,0.588421052631579,0.9964349376114082,0.7399073456615308,0.22894072532653809,38.741594552993774,14,8,True
A4_depth_longer,rel-stack,L2,42,0.8790445536728125,0.3169901484379525,0.36503856041131105,0.3533803401078391,0.35911485724512643,0.9230914115905762,1159.856751203537,13,7,True
A4_depth_longer,rel-stack,L8,42,0.878162174252018,0.2866968815145738,0.34533227848101267,0.362090418913314,0.3535128563538947,0.9527480006217957,1763.7914760112762,18,12,True
A4_depth_longer,rel-stack,L2-skip,42,0.8841930330615315,0.33095409987263374,0.35284933645589384,0.3749481542928246,0.3635632410045833,0.9021565318107605,2668.1324813365936,30,29,False
A4_depth_longer,rel-stack,L8-skip,42,0.8858082909252142,0.33779893654149773,0.38219424460431656,0.3525508087930319,0.3667745410326369,0.9417730569839478,2296.2189705371857,23,17,True
A4_depth_longer,rel-trial,L2,42,0.6882580783509575,0.7526377331159108,0.6302021403091558,0.9447415329768271,0.7560627669949787,0.3120172321796417,95.96219515800476,16,10,True
A4_depth_longer,rel-trial,L2,43,0.6843356162241611,0.7426845161173792,0.5978260869565217,0.9803921568627451,0.7427413904814392,0.35254403948783875,53.21402382850647,9,3,True
A4_depth_longer,rel-trial,L2,44,0.682646902461144,0.7403751408285758,0.6211764705882353,0.9411764705882353,0.7484053857718613,0.2689943313598633,74.45532989501953,13,7,True
A4_depth_longer,rel-trial,L8,42,0.6815434307694369,0.736966839999714,0.6227758007117438,0.9358288770053476,0.7478632473834192,0.3467666208744049,77.28370094299316,13,7,True
A4_depth_longer,rel-trial,L8,43,0.6752487278803068,0.735680756050521,0.6028921023359288,0.966131907308378,0.7424657529514552,0.23093654215335846,76.9513738155365,13,7,True
A4_depth_longer,rel-trial,L8,44,0.6722644400662977,0.7245551942284701,0.6435124508519003,0.875222816399287,0.7416918424119405,0.2629544734954834,106.07524061203003,18,12,True
A4_depth_longer,rel-trial,L2-skip,42,0.6852112455827626,0.7361905789535497,0.6217798594847775,0.946524064171123,0.7505300348571274,0.24058538675308228,90.339510679245,16,10,True
A4_depth_longer,rel-trial,L2-skip,43,0.6813111209396039,0.7483829763330909,0.6268292682926829,0.9162210338680927,0.7443881240650161,0.28608372807502747,58.68110179901123,11,5,True
A4_depth_longer,rel-trial,L2-skip,44,0.6856758652424287,0.7450469055894848,0.6297198538367844,0.9215686274509803,0.748191027014079,0.27955135703086853,73.3651614189148,13,7,True
A4_depth_longer,rel-trial,L8-skip,42,0.6773037763749838,0.7431086216911268,0.6117381489841986,0.966131907308378,0.7491361432709038,0.2983814477920532,74.64794611930847,13,7,True
A4_depth_longer,rel-trial,L8-skip,43,0.6888745928993607,0.7514849576329921,0.594017094017094,0.9910873440285205,0.7428189708072604,0.18895769119262695,59.22906136512756,10,4,True
A4_depth_longer,rel-trial,L8-skip,44,0.6835493368001108,0.7560880617772974,0.6158256880733946,0.9572192513368984,0.7494766219938923,0.2577948272228241,71.51441073417664,12,6,True
