epoch,train_loss,val_loss,val_AUROC,aspect,dataset,variant,seed,done
2,0.9989034879207612,0.7968056315467471,0.8496528185190025,A1,rel-stack,GAT-MPNN-D,42,False
3,0.9978895889520644,0.8043009299962294,0.8617992695994025,A1,rel-stack,GAT-MPNN-D,42,False
4,0.9904656492471696,0.8266533719641822,0.8629376143222485,A1,rel-stack,GAT-MPNN-D,42,False
5,0.9810452867746352,0.7455747844207854,0.8588867523107263,A1,rel-stack,GAT-MPNN-D,42,False
6,0.9686581844091416,0.7369343123975254,0.8593546643701057,A1,rel-stack,GAT-MPNN-D,42,False
7,0.9728684802055358,0.7654958040941329,0.8521195771970556,A1,rel-stack,GAT-MPNN-D,42,True
1,1.0544969351291658,0.8374967239797115,0.836820579989121,A1,rel-stack,GAT-MPNN-U,42,False
2,1.0123588601350784,0.7710932118906861,0.8480115045007123,A1,rel-stack,GAT-MPNN-U,42,False
3,1.0122515243291854,0.7957739572794664,0.8426695876207602,A1,rel-stack,GAT-MPNN-U,42,False
4,1.0117854439020155,0.8422169417497658,0.8472923327585021,A1,rel-stack,GAT-MPNN-U,42,False
5,0.9975328540802002,0.7503393042300429,0.8405149584078198,A1,rel-stack,GAT-MPNN-U,42,True
1,1.0661098787784575,0.8246420126940522,0.8372855985774105,A1,rel-stack,GAT-Dir-GNN,42,False
2,1.0214469863176343,0.8885274536552883,0.8516259545092552,A1,rel-stack,GAT-Dir-GNN,42,False
3,1.0012402628660202,0.8328719536463419,0.8420305133230995,A1,rel-stack,GAT-Dir-GNN,42,False
4,0.9968729994297028,0.7743387429841927,0.8531156098753213,A1,rel-stack,GAT-Dir-GNN,42,False
5,0.9956706529855728,0.815003576910212,0.8500134359970685,A1,rel-stack,GAT-Dir-GNN,42,False
6,0.991640942811966,0.7664110401556605,0.8551618930135884,A1,rel-stack,GAT-Dir-GNN,42,False
7,0.9952702654600144,0.8278048042030561,0.8597961747486907,A1,rel-stack,GAT-Dir-GNN,42,False
8,0.9818705612421036,0.7733563145711309,0.8564745445115957,A1,rel-stack,GAT-Dir-GNN,42,False
9,0.9870153449773788,0.7441169427973884,0.8557143073549496,A1,rel-stack,GAT-Dir-GNN,42,False
10,0.9971354880332948,0.7683352867052669,0.8477366396619805,A1,rel-stack,GAT-Dir-GNN,42,True
1,1.0611734869480134,0.7818791947904087,0.8246461785745854,A2,rel-stack,SAGE-homo,42,False
2,1.0014474939107896,0.7867140706096377,0.8500052452863802,A2,rel-stack,SAGE-homo,42,False
3,0.9845456056594848,0.7216404475981281,0.8590147014034532,A2,rel-stack,SAGE-homo,42,False
4,0.9580194801092148,0.7705573567322322,0.8607553753297593,A2,rel-stack,SAGE-homo,42,False
5,0.9540018385648728,0.7000089793332985,0.8687020674701079,A2,rel-stack,SAGE-homo,42,False
6,0.9501980899572372,0.7327311993354843,0.8695054556273109,A2,rel-stack,SAGE-homo,42,False
7,0.9444616272449492,0.6903963637139116,0.863727723336357,A2,rel-stack,SAGE-homo,42,False
8,0.9564101734161377,0.7297166749125436,0.8718517002401537,A2,rel-stack,SAGE-homo,42,False
9,0.9393889096975326,0.7164301462471485,0.8750477677524309,A2,rel-stack,SAGE-homo,42,False
10,0.9317631006240844,0.7240812523024422,0.8724947269596638,A2,rel-stack,SAGE-homo,42,True
1,1.0727012511491776,0.8742913532824743,0.826533380462111,A2,rel-stack,SAGE-hetero,42,False
2,1.0166052767038345,0.7616593924661478,0.8388900879559033,A2,rel-stack,SAGE-hetero,42,False
3,1.0106618181467055,0.7470118869983015,0.8399115727393998,A2,rel-stack,SAGE-hetero,42,False
4,0.9890217604637146,0.8266021905555612,0.8567527502654002,A2,rel-stack,SAGE-hetero,42,False
5,0.9794038364887238,0.7733868009277752,0.8585165172728266,A2,rel-stack,SAGE-hetero,42,False
6,0.9633567988872528,0.7505386061966419,0.8648353560013724,A2,rel-stack,SAGE-hetero,42,False
7,0.9647753647565842,0.7908434599992775,0.8577300897283779,A2,rel-stack,SAGE-hetero,42,False
8,0.9665932066440582,0.7374380261060738,0.8606811220007873,A2,rel-stack,SAGE-hetero,42,False
9,0.9545916477441788,0.7353042025296461,0.8657408036452883,A2,rel-stack,SAGE-hetero,42,False
