AUROC,AUPRC,precision,recall,f1,threshold,dataset,strategy,seed,params,train_s
0.8054912551440329,0.1514849694987298,0.1691176470588235,0.4107142857142857,0.2395833329201389,0.8048916459083557,rel-stack,llm-finetuned,42,24360127,7026.426653146744
0.8068140064667843,0.1572376203727576,0.1595092024539877,0.4642857142857143,0.2374429219937866,0.7968200445175171,rel-stack,llm-finetuned,43,24360127,7007.4607627391815
0.7876984126984127,0.1499902660525418,0.1788617886178861,0.3928571428571428,0.2458100554359726,0.8007550239562988,rel-stack,llm-finetuned,44,24360127,6996.953789949417
0.6273571629608781,0.7235815336563134,0.5894179894179894,0.9928698752228164,0.7397078348578726,0.25648632645606995,rel-trial,llm-finetuned,42,25942287,4774.475461244583
0.647603858130174,0.7457517089271513,0.5967391304347827,0.9786096256684492,0.7413909515887991,0.22511807084083557,rel-trial,llm-finetuned,43,25942287,5566.181492090225
0.6414029726723225,0.731560331842616,0.5887949260042283,0.9928698752228164,0.7392169869248035,0.14412105083465576,rel-trial,llm-finetuned,44,25942287,5565.474236249924
