epoch,train_loss,val_loss,val_AUROC,check,dataset,variant,seed,done
7,0.9510842173099517,0.705253074743918,0.8660724043810593,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
8,0.9533911085128784,0.7131388111128694,0.862028134710886,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
9,0.9451209717988968,0.7039798831655866,0.8700275059228284,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
10,0.9538224337100982,0.7525896594992706,0.8715083018980322,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
11,0.9453019441366196,0.7600631568403471,0.8672449064804042,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
12,0.9368564392328262,0.7340086388091246,0.8685079115827024,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
13,0.9395402245521546,0.7941748538897151,0.8731610605390865,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
14,0.9305806486606598,0.7417754912305445,0.8715789185017425,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
15,0.9278479807376862,0.7174321028093497,0.8684447474071081,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
16,0.9224350632429122,0.7244235910475254,0.8706715269623008,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
17,0.9288984776735306,0.8037700106700262,0.8773208552740597,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
18,0.9175224496126175,0.6998039808656488,0.8687311687295997,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
19,0.9118292356729507,0.7369841917284897,0.8698351099817557,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
20,0.9120883914232254,0.7151810489594936,0.8758136675612611,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
21,0.9052561140060424,0.6986513921902293,0.8761224088811028,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
22,0.908914949297905,0.7427608083401408,0.879452202485087,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
23,0.9081549752950668,0.7026941338110537,0.8768033564781689,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
24,0.9028253600597381,0.7827640555444217,0.8747470406514839,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
25,0.9114850407838821,0.6911965890654496,0.8748839808824687,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
