epoch,train_loss,val_loss,val_AUROC,dataset,variant,seed
1,1.0094627106785774,0.7586182178485961,0.8552768960604085,rel-stack,L1,42
2,0.9859386229813099,0.7234231595482145,0.8632850520892161,rel-stack,L1,42
3,0.9667796861529351,0.8126733928386655,0.8694216319687033,rel-stack,L1,42
4,0.9568087955713273,0.7446831026602359,0.8613108795204029,rel-stack,L1,42
5,0.9567819853425026,0.7298505821575721,0.8666975805714493,rel-stack,L1,42
6,0.9531017216742039,0.7344683907216504,0.8757038200634449,rel-stack,L1,42
7,0.9603878626823426,0.7053317458679279,0.8727690449224162,rel-stack,L1,42
8,0.9592290987968445,0.7368703715148426,0.8742408000433642,rel-stack,L1,42
9,0.9347412204742431,0.7322507168033293,0.8783355065936166,rel-stack,L1,42
10,0.953649793177843,0.7351789513514155,0.8776357017184688,rel-stack,L1,42
11,0.9319536933302879,0.7243264295338165,0.8720554438577941,rel-stack,L1,42
12,0.9360283852517605,0.7493946849412861,0.8821459668962944,rel-stack,L1,42
13,0.9368286643624306,0.6754333222551006,0.8765920734294157,rel-stack,L1,42
14,0.9264140785932541,0.6930125442643961,0.8760514840382041,rel-stack,L1,42
15,0.9394002884626389,0.6987389492846671,0.8810741322357155,rel-stack,L1,42
16,0.9302609181404113,0.7231988299283243,0.8799288496453339,rel-stack,L1,42
17,0.9202493821382522,0.7178426694479727,0.8833233212770546,rel-stack,L1,42
18,0.9273697685599327,0.7441019163954825,0.8805817325614685,rel-stack,L1,42
19,0.9264198893904686,0.7338235136121511,0.876569509823675,rel-stack,L1,42
20,0.9141902238130569,0.7635763268030825,0.8773460165407014,rel-stack,L1,42
21,0.9216701546907425,0.7005553958671433,0.8791074941264153,rel-stack,L1,42
22,0.9226847983002663,0.7240792800273214,0.8778028792195017,rel-stack,L1,42
23,0.9210436074733734,0.7127069259683291,0.8758666573578431,rel-stack,L1,42
1,1.004631174504757,0.7329545848603759,0.8638917960733082,rel-stack,L1,43
2,0.9817808512449264,0.7741596031756628,0.8626535594812665,rel-stack,L1,43
3,0.967140410065651,0.7353108312402453,0.8667240965990395,rel-stack,L1,43
4,0.9629368849396706,0.7747793073455492,0.8696407974889562,rel-stack,L1,43
5,0.9442435680329799,0.754370026113022,0.8612778357822615,rel-stack,L1,43
6,0.9544109657406807,0.781486028095796,0.8715641404213054,rel-stack,L1,43
7,0.940726865708828,0.6981244222039268,0.8742295965431909,rel-stack,L1,43
8,0.9457435033023357,0.7706916863542228,0.8796301857583084,rel-stack,L1,43
9,0.9321524487435817,0.7123968950694516,0.8796326939304131,rel-stack,L1,43
10,0.9420938767790794,0.7498367804856527,0.879506895054604,rel-stack,L1,43
11,0.9404226328134537,0.731070664489553,0.8795563724159197,rel-stack,L1,43
12,0.9343818259835244,0.7272735029636395,0.8733275494735455,rel-stack,L1,43
13,0.9326713909208775,0.7119968841295867,0.8776370017918194,rel-stack,L1,43
14,0.9300554811358451,0.7390833035821006,0.8731504486592905,rel-stack,L1,43
15,0.9409313131570816,0.7595346352706352,0.8758887710338009,rel-stack,L1,43
1,1.0027848753929138,0.7320771133083672,0.8550550011318593,rel-stack,L1,44
2,0.9722795852422714,0.7018401466664814,0.8677824830821307,rel-stack,L1,44
3,0.9681663358807564,0.775907483750156,0.8685962370249386,rel-stack,L1,44
4,0.9686479524374009,0.7585180502917085,0.8690114898991236,rel-stack,L1,44
5,0.9583855328857899,0.7423990802573306,0.8706558937666962,rel-stack,L1,44
