epoch,train_loss,val_loss,val_AUROC,dataset,variant,seed
1,1.2217691247746096,0.8549990177154541,0.7706404046225631,rel-stack,llm-partial1,42
2,1.1115146077285378,0.8416640162467957,0.7855411438650272,rel-stack,llm-partial1,42
3,1.0502009715064098,0.7841989517211914,0.8012521974237644,rel-stack,llm-partial1,42
4,1.010317199311014,0.7682450264692307,0.8196635053545556,rel-stack,llm-partial1,42
5,0.9980445191011592,0.7567721962928772,0.8117342886718205,rel-stack,llm-partial1,42
6,0.965821721796262,0.7687826424837112,0.817912157241255,rel-stack,llm-partial1,42
7,0.9368673946897862,0.776558342576027,0.8057189955910552,rel-stack,llm-partial1,42
8,0.9212675367371512,0.7854108840227128,0.8086702533358183,rel-stack,llm-partial1,42
9,0.9294990715333972,0.8216591447591781,0.817113193916308,rel-stack,llm-partial1,42
10,0.9013353414454702,0.8251566886901855,0.825172031596766,rel-stack,llm-partial1,42
11,0.8584726513442347,0.8486610472202301,0.8200260047549669,rel-stack,llm-partial1,42
12,0.8244813609931428,0.93743779361248,0.8135885280290761,rel-stack,llm-partial1,42
13,0.8507490097466162,0.8499954521656037,0.817464708486404,rel-stack,llm-partial1,42
14,0.8267037494707916,0.8130405962467193,0.8232061131313028,rel-stack,llm-partial1,42
15,0.782962665719501,0.882985283434391,0.8021141404425203,rel-stack,llm-partial1,42
16,0.7604434368974071,1.1177918016910553,0.8111976797109086,rel-stack,llm-partial1,42
1,1.2146099189580497,0.8960087060928345,0.7859155434982804,rel-stack,llm-partial1,43
2,1.084150926541474,0.8371927946805954,0.8135299422673935,rel-stack,llm-partial1,43
3,1.0209182561454129,0.7619393676519394,0.8121205885379155,rel-stack,llm-partial1,43
4,0.9966415570954144,0.8341357469558716,0.814414953429812,rel-stack,llm-partial1,43
5,0.9872957326598086,0.7768012762069703,0.8091393055902901,rel-stack,llm-partial1,43
6,0.9608972517110532,0.7924675643444061,0.81664670478891,rel-stack,llm-partial1,43
7,0.94313962580794,0.829879742860794,0.8242899497224315,rel-stack,llm-partial1,43
8,0.9046484514818354,0.8230089515447616,0.8274945908864723,rel-stack,llm-partial1,43
9,0.905433844711821,0.8401595473289489,0.8139708001240554,rel-stack,llm-partial1,43
10,0.8856395412299592,0.8639897644519806,0.824949405702372,rel-stack,llm-partial1,43
11,0.8565196344407938,0.8299513459205627,0.8175093801296869,rel-stack,llm-partial1,43
12,0.8267860554032407,0.894670857489109,0.8063509894952067,rel-stack,llm-partial1,43
13,0.8034661826440843,1.0112612396478653,0.7983981554272934,rel-stack,llm-partial1,43
14,0.7948779292025808,0.9271366953849792,0.7957885259053423,rel-stack,llm-partial1,43
1,1.249109960208505,0.8962474495172501,0.7428806399322748,rel-stack,llm-partial1,44
2,1.11192945302543,0.832689955830574,0.7972837443917864,rel-stack,llm-partial1,44
3,1.0480402879795785,0.7889073133468628,0.8077211639965596,rel-stack,llm-partial1,44
4,1.0018204006098084,0.868748152256012,0.814758778618687,rel-stack,llm-partial1,44
5,0.9835357009354284,0.7872796565294266,0.8158312642184897,rel-stack,llm-partial1,44
6,0.967354449175172,0.7679229855537415,0.8095201130412272,rel-stack,llm-partial1,44
7,0.9457016162953136,0.7842023730278015,0.81157793792033,rel-stack,llm-partial1,44
8,0.9169107493707688,0.8048982381820678,0.8031445175261137,rel-stack,llm-partial1,44
9,0.8873129911341909,0.8009522765874862,0.8133867733122814,rel-stack,llm-partial1,44
10,0.8713847125990916,0.8587875306606293,0.8188264612845148,rel-stack,llm-partial1,44
11,0.8470742167052576,1.033779114484787,0.7982200180956771,rel-stack,llm-partial1,44
12,0.8564261288966163,0.8293534845113755,0.8098573473319128,rel-stack,llm-partial1,44
13,0.8071330593804181,0.8289152652025222,0.8167389773635603,rel-stack,llm-partial1,44
14,0.8054250700999115,0.867281723022461,0.8088537000020872,rel-stack,llm-partial1,44
15,0.801159703125388,0.9265077024698256,0.8089492680258319,rel-stack,llm-partial1,44
16,0.7694785695965007,0.9433016926050186,0.8056274553384262,rel-stack,llm-partial1,44
