epoch,train_loss,val_loss,val_AUROC,dataset,variant,seed
1,1.2504877084392612,0.8973984628915787,0.7448883007529369,rel-stack,id,42
2,1.0830022227966178,0.882123076915741,0.7511134040927281,rel-stack,id,42
3,0.6405565526525853,1.1171322017908096,0.6724990012958438,rel-stack,id,42
4,0.13313075502292585,2.916519832611084,0.6014176289683157,rel-stack,id,42
5,0.035610654967505546,3.84346204996109,0.6286997366203853,rel-stack,id,42
6,0.002442558208713308,4.9553282558918,0.623418962526716,rel-stack,id,42
7,0.0004380090433218264,5.531169962882996,0.6192782307392901,rel-stack,id,42
8,0.00016644149927434244,6.999309444427491,0.6189045634280579,rel-stack,id,42
1,1.245699149067119,0.9778759092092514,0.754572893320088,rel-stack,id,43
2,1.0912467665591483,0.8908352166414261,0.7661882528956928,rel-stack,id,43
3,0.6814302797034636,1.0888794481754303,0.715537932632965,rel-stack,id,43
4,0.16767699536630662,2.3907736480236053,0.6585885445063215,rel-stack,id,43
5,0.03301712441242347,3.877438133955002,0.6584332922378626,rel-stack,id,43
6,0.005611630896564131,5.157704317569733,0.6577370370763654,rel-stack,id,43
7,0.0009001722562785845,5.683536887168884,0.6567635980299074,rel-stack,id,43
8,0.000281723096554357,5.96895602941513,0.6558509417111948,rel-stack,id,43
1,1.2394071635553392,0.9488496035337448,0.7555434030784621,rel-stack,id,44
2,1.066650357286809,0.931358414888382,0.7331363631204096,rel-stack,id,44
3,0.6423603321536112,1.2170230865478515,0.6686100052031478,rel-stack,id,44
4,0.14557106773984635,2.221671062707901,0.6325473565188926,rel-stack,id,44
5,0.030016409355547218,4.35114198923111,0.636209149704563,rel-stack,id,44
6,0.0025150384803271017,5.544407653808594,0.6278542708471025,rel-stack,id,44
7,0.0007424496004004742,5.975426304340362,0.6258819445639554,rel-stack,id,44
1,1.184900911177619,0.8509848862886429,0.8179952757906422,rel-stack,column,42
2,1.0676783080828391,1.0232667416334151,0.8431201458492538,rel-stack,column,42
3,1.0368207844637207,0.8875891596078873,0.8500405889480157,rel-stack,column,42
4,0.9985708250837811,0.8433802843093872,0.8425551594100268,rel-stack,column,42
5,0.9856399287611751,0.768232861161232,0.8134164323541333,rel-stack,column,42
6,0.9619769161030397,0.8703781932592392,0.8425855507738996,rel-stack,column,42
7,0.9474139991453139,0.8778994888067245,0.8353302534310203,rel-stack,column,42
8,0.9309275716038073,0.7653420209884644,0.8451721121521883,rel-stack,column,42
9,0.9044821575536566,0.7868909507989883,0.8383115363786456,rel-stack,column,42
1,1.178403760417033,0.9338578373193741,0.8218981860017378,rel-stack,column,43
2,1.0592989477060608,0.8112010091543198,0.830123810022486,rel-stack,column,43
3,1.0387692754551516,0.7377802073955536,0.8352740477159059,rel-stack,column,43
4,1.029199201171681,0.7502744406461715,0.8273918827230221,rel-stack,column,43
5,1.0044261691933971,0.8698974788188935,0.845132932924063,rel-stack,column,43
6,0.9754929562746468,0.8615254878997802,0.8313531956152951,rel-stack,column,43
7,0.9504226658303859,0.8075290411710739,0.8455390054847256,rel-stack,column,43
8,0.9312516349857136,0.7791481673717499,0.8411483688076223,rel-stack,column,43
9,0.9265935522014812,0.7533117055892944,0.8358437942482695,rel-stack,column,43
10,0.9006275918524144,0.7742041319608688,0.8402075180911001,rel-stack,column,43
11,0.8836953619779166,0.8402521580457687,0.8458183863357499,rel-stack,column,43
12,0.8748607362731028,0.7839322090148926,0.8335706666949831,rel-stack,column,43
13,0.8537522857472047,0.8010577291250229,0.8496714986494152,rel-stack,column,43
14,0.8309820789401814,0.8124627649784089,0.8378609752552052,rel-stack,column,43
15,0.816024017536034,0.8270331531763077,0.8308224452305515,rel-stack,column,43
16,0.8067534919512473,0.8019092857837677,0.8361385538617355,rel-stack,column,43
17,0.7888788782944114,0.7907505050301552,0.832115909000201,rel-stack,column,43
18,0.8257204354819605,0.837033498287201,0.8074293336711779,rel-stack,column,43
19,0.7812478572635327,0.8799920320510864,0.8134849044631,rel-stack,column,43
1,1.1880999530776073,0.8856585860252381,0.815504648597109,rel-stack,column,44
2,1.0666614417302407,0.8012025088071824,0.8340518022628018,rel-stack,column,44
3,1.0379899629091813,0.796722537279129,0.8551961359760882,rel-stack,column,44
4,1.0069243928133431,0.839280241727829,0.8594036921479336,rel-stack,column,44
5,0.9983674580768004,0.7656195968389511,0.8347497051488464,rel-stack,column,44
6,0.961678879745936,0.7755800694227218,0.8463712894616299,rel-stack,column,44
7,0.9521101895025221,0.7916552066802979,0.8422461195171508,rel-stack,column,44
8,0.933293066792569,0.8663890689611435,0.8434636048771182,rel-stack,column,44
9,0.9169886940616673,0.8665482252836227,0.8464049762745973,rel-stack,column,44
10,0.8938995458311954,0.8526888370513916,0.8329804151460305,rel-stack,column,44
1,1.2205809071912603,0.8651625365018845,0.7746817236956337,rel-stack,llm,42
2,1.1066277309999628,0.8404983580112457,0.7918143973777013,rel-stack,llm,42
3,1.038688651585983,0.7761252373456955,0.8006462009513596,rel-stack,llm,42
4,1.0022320605940738,0.804730623960495,0.8156990800936933,rel-stack,llm,42
5,0.988907655416909,0.7809608429670334,0.8043554119878918,rel-stack,llm,42
6,0.9597100898370905,0.8155738264322281,0.8102066649359457,rel-stack,llm,42
7,0.9334576574422545,0.8105523616075516,0.7938733207398357,rel-stack,llm,42
8,0.9147073080984213,0.8108668267726898,0.8058394625635151,rel-stack,llm,42
9,0.9271446688700531,0.8649150758981705,0.8112685318664434,rel-stack,llm,42
10,0.8789774462328119,0.8211245119571686,0.8028797831155102,rel-stack,llm,42
1,1.2159066462920884,0.8965507924556733,0.7834597016007461,rel-stack,llm,43
2,1.0737986443406444,0.8554471462965012,0.817956828884538,rel-stack,llm,43
3,1.0196882385318562,0.7555340200662612,0.8133955611765339,rel-stack,llm,43
4,0.9934041500091553,0.8954948574304581,0.816615581103016,rel-stack,llm,43
5,0.9789545616861117,0.8102254986763,0.8145606855119975,rel-stack,llm,43
6,0.9533638913752669,0.8248294442892075,0.8206949809211805,rel-stack,llm,43
7,0.9291750707868802,0.9248682677745819,0.8174614130373092,rel-stack,llm,43
8,0.9048945560293683,0.8192077308893204,0.8210911671345594,rel-stack,llm,43
9,0.8932424571554539,0.8442624181509018,0.8141743856459025,rel-stack,llm,43
10,0.8708612757214045,0.8302209258079529,0.8141879336032917,rel-stack,llm,43
11,0.8394778946698722,0.8455725133419036,0.8108721625725592,rel-stack,llm,43
