AUROC,AUPRC,precision,recall,f1,threshold,test_average_precision,test_accuracy,test_f1,test_roc_auc,test_precision_valthr,test_recall_valthr,dataset,strategy,seed,params,train_s
0.7511134040927281,0.1095605835908392,0.127485380116959,0.3879003558718861,0.191901408078359,0.7697411775588989,0.1096376217162719,0.77785,0.1310385292391942,0.7519536036515652,0.1220068415051311,0.389799635701275,rel-stack,id,42,182832703,68.66252064704895
0.7661882528956928,0.1131803574913489,0.1399116347569955,0.3380782918149466,0.1979166662526063,0.8136292099952698,0.1053161475688898,0.74325,0.1193620305264963,0.7540159060191324,0.1295180722891566,0.3132969034608379,rel-stack,id,43,182832703,68.39884757995605
0.7555434030784621,0.1145028147679945,0.1108225108225108,0.4555160142348754,0.178272980186611,0.7318471074104309,0.1087504802141168,0.6603,0.1058173203474598,0.756902473817024,0.102787456445993,0.4298724954462659,rel-stack,id,44,182832703,59.83561992645264
0.8500405889480157,0.2091156949220708,0.3159851301115242,0.302491103202847,0.3090909085911471,0.8961822986602783,0.1870679600574506,0.63505,0.1143065161994903,0.854161627382019,0.2736030828516377,0.2586520947176685,rel-stack,column,42,3595583,103.4303057193756
0.8496714986494152,0.2008903436457942,0.2466367713004484,0.3914590747330961,0.302613479580776,0.8939666748046875,0.1913791324686566,0.6777,0.1272678039534254,0.8478440383424831,0.2190265486725663,0.360655737704918,rel-stack,column,43,3595583,212.80564069747925
0.8594036921479336,0.2187156256312114,0.2899408284023668,0.3487544483985765,0.3166397410228181,0.8903372287750244,0.2092545622848448,0.64095,0.1177048777491092,0.8534944518471009,0.2657856093979442,0.3296903460837887,rel-stack,column,44,3595583,112.59502005577087
0.8156990800936933,0.1796113465332565,0.22,0.3523131672597864,0.2708618326320596,0.8402498364448547,0.1655685114067109,0.7252,0.1342155009451796,0.8296995233176188,0.1981672394043528,0.3151183970856102,rel-stack,llm,42,1646911,72.01622986793518
0.8210911671345594,0.1859337714300075,0.2320574162679425,0.3451957295373665,0.2775393414362312,0.8691716194152832,0.1723688574203335,0.72735,0.1362268335181371,0.8302333012036504,0.2137142857142857,0.3406193078324226,rel-stack,llm,43,1646911,100.13448667526244
0.8142556733902372,0.1851314704027835,0.2240566037735849,0.3380782918149466,0.2695035456198622,0.8870044946670532,0.1655428476109215,0.6674,0.1177718832891246,0.8223074019354037,0.2079905992949471,0.3224043715846995,rel-stack,llm,44,1646911,106.31326270103456
0.5099133752384526,0.5889243065796737,0.584375,1.0,0.7376725833608377,0.0248025823384523,0.5911673727158642,0.5066666666666667,0.5720294426919033,0.5036928068964682,0.5854545454545454,1.0,rel-trial,id,42,34046735,64.78872418403625
0.5235102015287775,0.5973405755834691,0.5857740585774058,0.998217468805704,0.7382992744185402,0.000110062166641,0.5970530858925825,0.5236363636363637,0.6120434353405726,0.5100613853474265,0.5851581508515815,0.9958592132505176,rel-trial,id,43,34046735,78.291011095047
0.5288399251247549,0.6132627587151231,0.5876180482686254,0.998217468805704,0.7397622188201768,0.0007936508627608,0.5899318543709624,0.5406060606060606,0.6144455747711088,0.5152857990386595,0.5850673194614443,0.989648033126294,rel-trial,id,44,34046735,77.62331485748291
0.6800289493787947,0.7411033635380693,0.6035049288061336,0.982174688057041,0.7476255083480527,0.2245810329914093,0.755910474383223,0.6206060606060606,0.66524064171123,0.6834295884639134,0.6056338028169014,0.979296066252588,rel-trial,column,42,8772623,136.43942499160767
0.671531770602978,0.7426468834168145,0.6002190580503833,0.9768270944741532,0.7435549520386904,0.2601879835128784,0.765505337316817,0.6327272727272727,0.6439482961222092,0.7047812768636568,0.6086404066073697,0.9917184265010353,rel-trial,column,43,8772623,107.79866909980774
0.6729345645754315,0.7399658720968829,0.590285110876452,0.9964349376114082,0.7413793098775874,0.2314789891242981,0.7588583226716072,0.6496969696969697,0.6778149386845039,0.7070696063831076,0.5982587064676617,0.9958592132505176,rel-trial,column,44,8772623,116.85340881347656
0.6682124205344019,0.7507018912654029,0.5954198473282443,0.9732620320855616,0.7388362647522828,0.2267215847969055,0.7450080302278119,0.5757575757575758,0.5125348189415042,0.6645599506011406,0.5971867007672634,0.9668737060041408,rel-trial,llm,42,3229071,113.64020943641664
0.6657374273473344,0.7488969331320181,0.5904761904761905,0.9946524064171124,0.7410358561062125,0.2590183019638061,0.744537648145452,0.6121212121212121,0.6412556053811659,0.6756928553267227,0.5891758917589176,0.9917184265010353,rel-trial,llm,43,3229071,96.3536820411682
0.6670464038885092,0.7425699897841602,0.5865687303252886,0.9964349376114082,0.738441214857165,0.1037512347102165,0.740078770315786,0.5842424242424242,0.5696361355081556,0.6685857154964707,0.5870098039215687,0.9917184265010353,rel-trial,llm,44,3229071,110.61749529838562
