AUROC,AUPRC,precision,recall,f1,threshold,dataset,num_bases,seed,params,train_s
0.8759262941833719,0.3132624572473714,0.3615649183147033,0.3488179178763998,0.3550770524872836,0.9095050692558287,rel-stack,1,42,2381529,2552.3167209625244
0.8774290472291393,0.2989243459579745,0.3329466357308585,0.3571132310244712,0.3446067635590483,0.9266815781593324,rel-stack,1,43,2381529,2565.215887784958
0.8723367046596822,0.2965282301643799,0.3620218579234973,0.3297386976358357,0.3451269801826604,0.8800538182258606,rel-stack,1,44,2381529,2570.4833335876465
0.8751724057596839,0.2933977781569307,0.3459459459459459,0.3450850269597677,0.3455149496661137,0.8948309421539307,rel-stack,2,42,2447153,2227.09232711792
0.8786598090208654,0.3044047620061165,0.327790096082779,0.3678971381169639,0.3466875117158499,0.9158902764320374,rel-stack,2,43,2447153,2400.7467472553253
0.8800856141305633,0.3202073115951521,0.3845102505694761,0.3500622148486105,0.366478505797235,0.897991955280304,rel-stack,2,44,2447153,2670.341663360596
0.8784300589646156,0.3009487857435664,0.3285609397944199,0.3712152633761924,0.3485881202418772,0.9012515544891356,rel-stack,4,42,2578401,2676.807389497757
0.8777795226435914,0.3207429571028106,0.3441787534300274,0.3641642472003318,0.3538895601614218,0.9041926860809326,rel-stack,4,43,2578401,2675.9141261577606
0.8754936506530492,0.312154080860569,0.3527227722772277,0.3546246370800497,0.3536711473800449,0.8791599869728088,rel-stack,4,44,2578401,2571.6980090141296
0.8763710385876337,0.3040242548587745,0.3237616654702082,0.3741186229780174,0.3471233398912891,0.9094477891921996,rel-stack,8,42,2840897,1965.902035713196
0.8768333973700245,0.300343059691492,0.3423645320197044,0.3459145582745748,0.34413038943193,0.9404410123825072,rel-stack,8,43,2840897,2298.542434453964
0.873231306758611,0.2932138157136977,0.3193775472397184,0.3575279966818747,0.3373776903039365,0.8864385485649109,rel-stack,8,44,2840897,1585.9667954444883
0.8726373273570329,0.2917779404593119,0.3571758191047531,0.3210286188303608,0.3381389247963089,0.9310881495475768,rel-stack,22,42,3759633,1778.3523442745209
0.8746773288789389,0.2932997293574167,0.2976493011435832,0.3886354209871422,0.3371109906942534,0.8850703239440918,rel-stack,22,43,3759633,2106.11508011818
0.8712388635604936,0.2855174564991084,0.3277207392197125,0.3309829946080465,0.3293437881917167,0.8954670429229736,rel-stack,22,44,3759633,1862.97202205658
0.8729030817391116,0.285726077218205,0.3029031129765652,0.359187059311489,0.3286527509267632,0.899848461151123,rel-stack,12,42,3103393,1604.805694103241
0.8796124719481831,0.3137812834015595,0.3288304301457518,0.3836582330982994,0.3541347621369578,0.8766998648643494,rel-stack,12,43,3103393,2823.360158920288
0.8796033341477312,0.3066401962039902,0.3447316103379721,0.3596018249688926,0.3520097437145956,0.944685697555542,rel-stack,12,44,3103393,2859.483009338379
0.8764404122913917,0.3045951408372324,0.31,0.3857320613853173,0.3437442242333315,0.9150634407997132,rel-stack,16,42,3365889,2469.5033073425293
0.8802015642671474,0.3171895805086188,0.3327272727272727,0.3795105765242638,0.3545824447647033,0.9133772253990172,rel-stack,16,43,3365889,2838.1381578445435
0.8758991716206048,0.3099682266614691,0.3517970401691332,0.3450850269597677,0.3484087097178018,0.9156866073608398,rel-stack,16,44,3365889,2062.1722400188446
0.8733208228990018,0.2957113228231613,0.3324121594946703,0.3492326835338034,0.340614886231696,0.9063080549240112,rel-stack,20,42,3628385,2143.636229991913
0.8757914619107071,0.2963620144197562,0.2915129151291513,0.3931978432185815,0.3348048732528602,0.8993712067604065,rel-stack,20,43,3628385,2397.0550434589386
0.8765235349544259,0.3005467255488479,0.3235621521335807,0.3616756532559104,0.3415589497561492,0.8748799562454224,rel-stack,20,44,3628385,1660.972680091858
0.6768436242120452,0.7388143789703265,0.6140552995391705,0.9500891265597148,0.7459762066609358,0.2989102303981781,rel-trial,1,42,6354937,66.37697148323059
0.6892476288761118,0.7498822094523137,0.6092342342342343,0.964349376114082,0.7467218766821239,0.314702421426773,rel-trial,1,43,6354937,46.03073167800903
0.681704260651629,0.7452608406832084,0.6297198538367844,0.9215686274509804,0.748191027014079,0.2499516159296035,rel-trial,1,44,6354937,57.634193658828735
0.6826290324742338,0.7511883528389973,0.6239620403321471,0.9376114081996436,0.7492877488079206,0.2850293517112732,rel-trial,2,42,6420593,69.07931804656982
0.665701687373514,0.7343151501706139,0.6108545034642032,0.9429590017825312,0.7414155566356654,0.2740379571914673,rel-trial,2,43,6420593,50.77335834503174
0.6834823243491974,0.7470064682365505,0.6425806451612903,0.8877005347593583,0.7455089815487569,0.3096687793731689,rel-trial,2,44,6420593,52.93592143058777
0.6922743579090329,0.7548410713824829,0.6010869565217392,0.9857397504456328,0.7467927071593595,0.2786711156368255,rel-trial,4,42,6551905,67.69739532470703
0.6840050214663218,0.7525252561677743,0.5980603448275862,0.9893048128342246,0.7454667557425976,0.2395971566438675,rel-trial,4,43,6551905,58.631293535232544
0.6842239288059722,0.7420043790686122,0.6069042316258352,0.9714795008912656,0.7470870454485401,0.3233336508274078,rel-trial,4,44,6551905,44.00902605056763
0.6831919370619062,0.7514650675452679,0.608352144469526,0.9607843137254902,0.7449896332501713,0.3432210385799408,rel-trial,8,42,6814529,53.76747918128967
0.6795241222485804,0.7418830679800138,0.6114864864864865,0.9679144385026738,0.7494824011817788,0.2434058040380478,rel-trial,8,43,6814529,63.07394337654114
0.6858232926344381,0.7486991091404607,0.6310679611650486,0.926916221033868,0.7509025265938416,0.327251672744751,rel-trial,8,44,6814529,67.70919847488403
0.6924932652486833,0.7586928908544989,0.6078212290502794,0.9696969696969696,0.7472527467790584,0.2854724526405334,rel-trial,30,42,8258961,67.84767961502075
0.6843713561979816,0.7542789730718922,0.6037321624588364,0.9803921568627452,0.7472826082239198,0.3433378636837005,rel-trial,30,43,8258961,48.40023279190064
0.6835135968262903,0.7612047311788794,0.6435897435897436,0.8948306595365418,0.748695003241896,0.3059130609035492,rel-trial,30,44,8258961,67.60426568984985
0.6840675664205076,0.7475556641059071,0.6068281938325991,0.982174688057041,0.7501701833264011,0.2830152511596679,rel-trial,12,42,7077153,51.92592692375183
0.6938156442800405,0.7610387779494274,0.6229508196721312,0.948306595365419,0.7519434624189648,0.1941954493522644,rel-trial,12,43,7077153,59.28497672080994
0.6861762248759153,0.744795820361955,0.6184364060676779,0.9447415329768272,0.7475317343595869,0.2738081812858581,rel-trial,12,44,7077153,67.18284296989441
0.685845630118076,0.7518475641902355,0.6206088992974239,0.9447415329768272,0.74911660729529,0.3106794357299804,rel-trial,16,42,7339777,62.25582718849182
0.6978542613217537,0.7727562635722454,0.6247058823529412,0.946524064171123,0.7526576891028323,0.3612433075904846,rel-trial,16,43,7339777,65.85091400146484
0.6898261697023307,0.7539375799110805,0.6042128603104213,0.9714795008912656,0.7450444287821193,0.2247665524482727,rel-trial,16,44,7339777,50.560744285583496
0.6797072896144104,0.7577278612512897,0.5997842502696872,0.9910873440285204,0.7473118274872393,0.2488130331039428,rel-trial,20,42,7602401,54.88136148452759
0.6895089774346741,0.7467013740201403,0.6140552995391705,0.9500891265597148,0.7459762066609358,0.297344297170639,rel-trial,20,43,7602401,49.769389629364014
0.6868954918490523,0.7538003624436687,0.6109865470852018,0.9714795008912656,0.7501720573373721,0.2201841622591018,rel-trial,20,44,7602401,76.04315161705017
0.6830132371928038,0.7232003321157454,0.6202090592334495,0.9518716577540108,0.7510548518429294,0.3438105583190918,rel-trial,24,42,7865025,41.15553092956543
0.6915506234391683,0.7526335428711267,0.6377358490566037,0.9037433155080212,0.7477876101343586,0.3706530928611755,rel-trial,24,43,7865025,55.34313750267029
0.6850950906678461,0.7436034197165479,0.6272617611580217,0.926916221033868,0.7482014383675079,0.3498919010162353,rel-trial,24,44,7865025,64.45419931411743
0.6909609138711307,0.7581832583720411,0.6343283582089553,0.9090909090909092,0.7472527467685932,0.2902126312255859,rel-trial,28,42,8127649,55.23356080055237
0.6866810520061294,0.7536728352864489,0.6057906458797327,0.9696969696969696,0.7457162435294175,0.1799867004156112,rel-trial,28,43,8127649,50.54580116271973
0.6755525176577808,0.7437948024217615,0.6150341685649203,0.962566844919786,0.7505211947987604,0.2701104283332824,rel-trial,28,44,8127649,49.12271761894226
